Location,Person Count,Vehicle Count,Injuries,Date,Hit Parked Car
S KENNY ST BETWEEN 44TH AVE S AND RAINIER AVE S,2,2,0,31/07/2005,N
BROADWAY AND E UNION ST,2,1,1,11/11/2005,N
GREEN LAKE WAY N BETWEEN MIDVALE AVE N AND N 48TH ST,2,2,0,30/04/2019,N
12TH AVE BETWEEN E MARION ST AND E SPRING ST,1,0,0,13/03/2013,N
M L KING JR WAY S BETWEEN S JACKSON ST AND S KING ST,2,2,0,09/06/2005,N
INTERLAKE AVE N AND N 47TH ST,2,2,0,10/01/2004,N
FAIRVIEW AVE N BETWEEN VALLEY ST AND VALLEY UPPER ST,3,2,0,25/11/2019,N
NE 42ND ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,2,1,1,08/07/2019,N
ELLIOTT AVE W BETWEEN W MERCER PL AND W PROSPECT ST,2,2,0,20/11/2019,N
LAKE CITY WAY NE BETWEEN NE 98TH ST AND NE 100TH ST,0,0,0,10/10/2005,N
RENTON AVE S AND S ROXBURY ST,2,2,0,11/05/2019,N
37TH AVE SW BETWEEN SW TRENTON ST AND SW HENDERSON ST,1,1,0,05/03/2019,N
9TH AVE SW BETWEEN SW CLOVERDALE ST AND SW TRENTON ST,2,2,0,01/04/2013,N
30TH AVE NE AND BURKE GILMAN TRL,2,1,1,12/09/2019,N
8TH AVE N AND REPUBLICAN ST,4,2,3,17/03/2019,N
RAINIER AVE S BETWEEN S KENNY ST AND S GRAHAM ST,2,2,0,22/11/2019,N
6TH AVE S BETWEEN S LANDER ST AND S FOREST ST,2,2,0,02/04/2013,N
NE 143RD ST BETWEEN 12TH AVE NE AND 15TH AVE NE,2,1,1,29/11/2019,N
DENSMORE AVE N BETWEEN N 47TH ST AND N 48TH ST,2,2,0,08/06/2004,N
MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,2,2,0,11/11/2004,N
E OLIVE WAY BETWEEN E JOHN ST AND BELMONT AVE E,2,2,0,18/05/2019,N
11TH AVE S AND S OREGON ST,2,2,0,05/11/2005,N
HOLMAN RD N BETWEEN N 104TH ST AND GREENWOOD AVE N,2,2,1,03/04/2019,N
FAUNTLEROY WAY SW BETWEEN SW MYRTLE ST AND SW OTHELLO ST,2,1,1,16/03/2019,N
AURORA AVE N BETWEEN N 117TH PL AND N 125TH ST,2,1,1,14/03/2013,N
RAINIER AVE S BETWEEN S HENDERSON ST AND S DIRECTOR N ST,2,2,0,15/03/2019,N
E SHELBY ST BETWEEN HARVARD AVE E AND BROADWAY E,0,0,0,29/11/2019,Y
17TH AVE AND E HOWELL ST,2,2,0,28/03/2013,N
26TH AVE NW AND NW 57TH ST,3,2,0,25/03/2013,N
PIKE PL AND PIKE ST,2,1,1,14/10/2004,N
PROSCH AVE W BETWEEN 13TH AVE W AND W BARRETT ST,2,0,0,02/07/2019,Y
15TH AVE NE AND NE PACIFIC ST,2,1,0,28/03/2013,N
9TH AVE AND HOWELL ST,2,1,1,09/12/2004,N
1ST AVE BETWEEN CHERRY ST AND COLUMBIA ST,2,2,0,04/07/2019,N
STEWART ST BETWEEN MINOR AVE AND YALE AVE,2,1,0,03/08/2005,N
FREMONT AVE N BETWEEN N 103RD ST AND N 104TH ST,2,2,0,25/11/2019,N
BOYLSTON AVE AND E OLIVE ST,3,3,1,07/07/2019,N
SEWARD PARK AVE S AND S ORCAS ST,3,2,0,26/11/2019,N
DUWAMISH AVE S BETWEEN EAST MARGINAL SB WAY S AND EAST MARGINAL NB WAY S,1,1,1,18/09/2004,N
12TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,4,3,0,24/05/2019,N
E MADISON ST BETWEEN MCGILVRA N BV E AND E BLAINE ST,2,0,0,08/07/2019,Y
5TH AVE NE AND NE 103RD ST,2,2,2,27/03/2013,N
SR99 TUNNEL SB BETWEEN 6TH AVE N ON RP AND ALASKAN WY VI SB,4,0,1,21/11/2019,N
HIGHLAND PARK WAY SW AND SW HOLDEN N ST,0,0,0,02/12/2019,N
CORSON AVE S BETWEEN S MICHIGAN ST AND S EDDY ST,1,0,0,16/11/2019,N
WEST SEATTLE BR WB BETWEEN W SEATTLE BR WB OFF RP AND HARBOR AV SW OFF RP,3,3,3,06/07/2005,N
FREMONT AVE N BETWEEN N 43RD N ST AND N 44TH ST,2,2,0,22/11/2004,N
BLANCHARD ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0,0,0,30/11/2019,N
BAY ST AND WESTERN AVE,5,2,0,25/03/2013,N
9TH AVE N AND MERCER SR ST,5,2,2,13/06/2004,N
RAVENNA PL NE BETWEEN NE BLAKELEY ST AND 24TH AVE NE,5,2,3,18/04/2019,N
BELMONT AVE E BETWEEN E DENNY WAY AND E OLIVE WAY,2,2,0,16/12/2005,N
8TH AVE SW AND SW BARTON ST,2,2,1,19/03/2019,N
ELLIOTT AVE W BETWEEN W MERCER ST AND W MERCER PL,2,2,0,09/07/2019,N
M L KING JR ER WAY S AND S CLOVERDALE ST,3,2,0,19/11/2019,N
ALASKAN WY VI NB BETWEEN S ROYAL BROUGHAM WAY ON RP AND SENECA ST OFF RP,2,2,0,12/08/2004,N
1ST AVE S BETWEEN S FIDALGO ST AND EAST MARGINAL WAY S,2,2,0,14/05/2019,N
7TH AVE S BETWEEN S CHARLESTOWN ST AND S BRADFORD ST,0,0,0,28/03/2013,N
NE 95TH ST BETWEEN 23RD AVE NE AND 25TH AVE NE,2,2,0,22/11/2019,N
