Date,Max Temp,Min Temp,Rain
01/01/1948,51,42,TRUE
02/01/1948,45,36,TRUE
03/01/1948,45,35,TRUE
04/01/1948,45,34,TRUE
05/01/1948,45,32,TRUE
06/01/1948,48,39,TRUE
07/01/1948,50,40,TRUE
08/01/1948,48,35,TRUE
09/01/1948,50,31,TRUE
10/01/1948,43,34,TRUE
11/01/1948,42,32,TRUE
12/01/1948,41,26,FALSE
13/01/1948,45,29,FALSE
14/01/1948,38,26,FALSE
15/01/1948,34,31,FALSE
16/01/1948,34,28,FALSE
17/01/1948,35,29,FALSE
18/01/1948,33,28,FALSE
19/01/1948,34,27,FALSE
20/01/1948,36,29,FALSE
21/01/1948,48,32,FALSE
22/01/1948,47,44,TRUE
23/01/1948,47,43,FALSE
24/01/1948,45,34,TRUE
25/01/1948,46,30,FALSE
26/01/1948,45,32,FALSE
27/01/1948,53,33,FALSE
28/01/1948,53,25,FALSE
29/01/1948,42,34,TRUE
30/01/1948,47,30,TRUE
31/01/1948,35,27,TRUE
01/02/1948,39,30,TRUE
02/02/1948,43,26,FALSE
03/02/1948,38,26,TRUE
04/02/1948,39,31,TRUE
05/02/1948,36,26,FALSE
06/02/1948,43,20,FALSE
07/02/1948,43,27,TRUE
08/02/1948,44,35,TRUE
09/02/1948,45,32,FALSE
10/02/1948,39,27,FALSE
11/02/1948,46,23,FALSE
12/02/1948,43,26,FALSE
13/02/1948,47,35,FALSE
14/02/1948,46,39,TRUE
15/02/1948,45,37,TRUE
16/02/1948,52,37,TRUE
17/02/1948,57,46,TRUE
18/02/1948,49,32,TRUE
19/02/1948,45,30,FALSE
20/02/1948,45,35,TRUE
21/02/1948,49,37,TRUE
22/02/1948,47,38,TRUE
23/02/1948,47,36,FALSE
24/02/1948,44,36,TRUE
25/02/1948,47,41,TRUE
26/02/1948,49,37,TRUE
27/02/1948,47,35,FALSE
28/02/1948,50,32,FALSE
29/02/1948,46,34,FALSE
01/03/1948,47,32,TRUE
02/03/1948,50,31,FALSE
03/03/1948,52,28,FALSE
04/03/1948,57,31,FALSE
05/03/1948,47,40,FALSE
06/03/1948,47,41,TRUE
07/03/1948,42,34,TRUE
08/03/1948,42,33,TRUE
09/03/1948,47,33,FALSE
10/03/1948,51,31,FALSE
11/03/1948,51,31,TRUE
12/03/1948,60,37,TRUE
13/03/1948,54,35,TRUE
14/03/1948,52,34,FALSE
15/03/1948,52,36,FALSE
16/03/1948,50,33,FALSE
17/03/1948,50,36,TRUE
18/03/1948,48,35,TRUE
19/03/1948,47,33,FALSE
20/03/1948,44,33,TRUE
21/03/1948,46,37,TRUE
22/03/1948,44,30,TRUE
23/03/1948,54,31,FALSE
24/03/1948,54,36,TRUE
25/03/1948,50,35,TRUE
26/03/1948,56,36,FALSE
27/03/1948,70,38,FALSE
28/03/1948,64,39,FALSE
29/03/1948,49,39,FALSE
30/03/1948,54,38,FALSE
31/03/1948,53,40,FALSE
01/04/1948,46,37,TRUE
02/04/1948,45,33,TRUE
03/04/1948,47,32,TRUE
04/04/1948,49,31,TRUE
05/04/1948,51,32,TRUE
06/04/1948,44,34,TRUE
07/04/1948,55,30,FALSE
08/04/1948,59,32,TRUE
09/04/1948,50,39,TRUE
10/04/1948,53,38,TRUE
11/04/1948,51,38,FALSE
12/04/1948,50,39,TRUE
13/04/1948,59,39,TRUE
14/04/1948,63,42,FALSE
15/04/1948,65,47,TRUE
16/04/1948,62,43,FALSE
17/04/1948,54,44,TRUE
18/04/1948,58,41,FALSE
19/04/1948,61,37,FALSE
20/04/1948,66,39,FALSE
21/04/1948,55,44,TRUE
22/04/1948,57,43,TRUE
23/04/1948,55,42,TRUE
24/04/1948,46,40,TRUE
25/04/1948,49,34,TRUE
26/04/1948,50,32,FALSE
27/04/1948,53,31,FALSE
28/04/1948,45,38,TRUE
29/04/1948,54,33,FALSE
